seed	t	Total	HIV	AIDS	Tested	ART	Incidence	HRInc_6mo	HRInc_Ev	NewlyDiag	Deaths	PrEP
1	111	20995	1311	655	581	448	6	0	1	0	1	0
1	112	21002	1320	657	581	449	9	1	2	0	0	0
1	113	21004	1327	659	581	450	8	1	1	0	1	0
1	114	21001	1326	662	578	450	3	0	1	0	4	0
1	115	21010	1329	662	579	451	7	0	1	0	4	0
1	116	21015	1335	662	578	452	7	0	0	0	1	0
1	117	21019	1337	663	577	452	3	0	0	0	1	0
1	118	21022	1338	664	576	453	4	0	0	0	3	0
1	119	21027	1344	668	577	455	7	0	2	0	1	0
1	120	21026	1347	667	576	454	5	0	0	0	2	0
