run_id	runseed	popseed	t	component	centrality	density	EffectiveSize	deg_cent
xCoEDfL9	1	2	10	33		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	34		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	35		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	36		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	37		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	38		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	39		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	40		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	41		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	42		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	43		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	44		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	45		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	46		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	47		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	48		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	49		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	50		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	51		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	52		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	53		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	54		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	55		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	56		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	57		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	58		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	59		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	60		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	61		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	62		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	63		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	64		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	65		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	66		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	67		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	68		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	69		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	70		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	71		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	72		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	73		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	74		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	75		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	76		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	77		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	78		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	79		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	80		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	81		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	82		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	83		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	84		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	85		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	86		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	87		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	88		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	89		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	90		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	91		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	92		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	93		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	94		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	95		0.0000	0.0000	nan	1.0
xCoEDfL9	1	2	10	96		0.0000	0.0000	nan	1.0
